strain,location,collection_date,ID,serum,antigenic_distance,Tree_model_log2,Subs_model_log2
B/HongKong/3298/2014,Hong Kong,2014-05-21,EPI536445,B/Brisbane/60/2008,2.6,1.55,0.79
B/HongKong/3221/2014,Hong Kong,2014-05-08,EPI536441,B/Brisbane/60/2008,2.6,1.55,0.79
B/HongKong/3221/2014,Hong Kong,2014-05-08,EPI536441,B/Brisbane/60/2008,2.6,1.55,0.79
B/HongKong/3224/2014,Hong Kong,2014-05-09,EPI536443,B/Brisbane/60/2008,2.6,1.55,0.79
B/HongKong/3224/2014,Hong Kong,2014-05-09,EPI536443,B/Brisbane/60/2008,2.6,1.55,0.79
B/HongKong/3224/2014,Hong Kong,2014-05-09,EPI536443,B/Brisbane/60/2008,2.6,1.55,0.79
B/HongKong/3224/2014,Hong Kong,2014-05-09,EPI536443,B/Brisbane/60/2008,2.6,1.55,0.79
B/BuenosAires/R335/2012,Argentina,2012-11-01,EPI406242,B/Brisbane/60/2008,2.3,1.32,0.0
B/BuenosAires/770/2012,Argentina,2012-07-06,EPI406282,B/Brisbane/60/2008,2.3,1.32,0.0
B/SantaFe/915530/2012,U S A,2012-08-21,EPI406323,B/Brisbane/60/2008,2.3,1.32,0.0
B/Slovenia/1190/2013,Slovenia,2013-03-11,EPI460614,B/Brisbane/60/2008,2.3,1.32,0.0
B/Slovenia/527/2013,Slovenia,2013-02-03,EPI460624,B/Brisbane/60/2008,2.3,1.32,0.0
B/Hungary/05/2013,Hungary,2013-02-27,EPI461894,B/Brisbane/60/2008,2.3,1.32,0.0
B/Hungary/05/2013,Hungary,2013-02-27,EPI461894,B/Brisbane/60/2008,2.3,1.32,0.0
B/Hungary/05/2013,Hungary,2013-02-27,EPI461894,B/Brisbane/60/2008,2.3,1.32,0.0
B/Caen/1623/2012,France,2012-10-24,EPI416268,B/Brisbane/60/2008,2.3,1.32,0.0
B/Caen/1623/2012,France,2012-10-24,EPI416268,B/Brisbane/60/2008,2.3,1.32,0.0
B/Caen/1623/2012,France,2012-10-24,EPI416268,B/Brisbane/60/2008,2.3,1.32,0.0
B/Valladolid/99/2012,Spain,2012-12-20,EPI417765,B/Brisbane/60/2008,2.3,1.32,0.0
B/Ireland/87829/2012,Ireland,2012-11-19,EPI445951,B/Brisbane/60/2008,2.3,1.32,0.0
B/Valladolid/93/2013,Spain,2013-03-13,EPI460638,B/Brisbane/60/2008,2.3,1.32,0.0
B/Valladolid/93/2013,Spain,2013-03-13,EPI460638,B/Brisbane/60/2008,2.3,1.32,0.0
B/Valladolid/93/2013,Spain,2013-03-13,EPI460638,B/Brisbane/60/2008,2.3,1.32,0.0
B/Norway/2402/2012,Norway,2012-11-27,EPI417718,B/Brisbane/60/2008,2.5,1.48,0.79
B/Norway/1958/2013,Norway,2013-03-25,EPI468229,B/Brisbane/60/2008,2.5,1.48,0.79
B/England/322/2012,United Kingdom,2012-02-29,EPI377703,B/Brisbane/60/2008,2.8,1.83,0.0
B/SachenAnhalt/1/2012,Unknown,2012-01-01,EPI352438,B/Brisbane/60/2008,2.3,1.32,0.0
B/England/322/2012,United Kingdom,2012-02-29,EPI377703,B/Brisbane/60/2008,2.8,1.83,0.0
B/Lyon/2696/2012,France,2012-12-06,EPI431358,B/Brisbane/60/2008,2.3,1.32,0.0
B/Picardie/1254/2013,France,2013-03-06,EPI465874,B/Brisbane/60/2008,2.3,1.32,0.0
B/Lyon/2696/2012,France,2012-12-06,EPI431358,B/Brisbane/60/2008,2.3,1.32,0.0
B/Denmark/5/2012,Denmark,2012-02-27,EPI379920,B/Brisbane/60/2008,2.3,1.32,0.0
B/NAGASAKI/68/2015,Japan,2015-05-25,EPIHA,B/Brisbane/60/2008,2.3,1.27,0.39
B/Victoria/847/2015,Australia,2015-08-03,EPIHA,B/Brisbane/60/2008,2.3,1.27,0.39
B/Hawaii/14/2015,U S A,2015-06-11,EPIHA,B/Brisbane/60/2008,2.3,1.27,0.39
B/Hawaii/14/2015,U S A,2015-06-11,EPIHA,B/Brisbane/60/2008,2.3,1.27,0.39
B/Wisconsin/45/2015,U S A,2015-04-27,EPIHA,B/Brisbane/60/2008,2.3,1.27,0.39
B/BuenosAires/10987831/2014,Argentina,2014-06-19,EPI543163,B/Brisbane/60/2008,2.3,1.27,0.39
B/BuenosAires/10987831/2014,Argentina,2014-06-19,EPI543163,B/Brisbane/60/2008,2.3,1.27,0.39
B/SantaFe/1211/2014,U S A,2014-06-19,EPI543170,B/Brisbane/60/2008,2.3,1.27,0.39
B/Berlin/1/2014,Germany,2014-01-15,EPI505323,B/Brisbane/60/2008,2.6,1.57,0.39
B/BuenosAires/10978573/2014,Argentina,2014-07-07,EPI543159,B/Brisbane/60/2008,2.6,1.57,0.39
B/VICTORIA/813/2013,Australia,2013-08-21,EPI491353,B/Brisbane/60/2008,2.6,1.57,0.39
B/Iceland/66/2014,Iceland,2014-03-18,EPI536455,B/Brisbane/60/2008,2.3,1.27,0.39
B/Florida/07/2013,U S A,2013-11-07,EPI492847,B/Brisbane/60/2008,2.6,1.57,0.39
B/Norway/2090/2013,Norway,2013-04-14,EPI468231,B/Brisbane/60/2008,2.3,1.27,0.39
B/England/226/2013,United Kingdom,2013-02-01,EPI445937,B/Brisbane/60/2008,2.3,1.27,0.39
B/England/226/2013,United Kingdom,2013-02-01,EPI445937,B/Brisbane/60/2008,2.3,1.27,0.39
