strain,location,collection_date,ID,serum,antigenic_distance,Tree_model_log2,Subs_model_log2
B/Madrid/15046/2014,Spain,2014-12-15,EPI557944,B/Utah/09/2014,3.1,1.06,0.11
B/Madrid/052/2015,Spain,2014-12-30,EPI557942,B/Utah/09/2014,3.1,1.06,0.11
B/CastillaLaMancha/2083/2014,Spain,2014-12-11,EPI555197,B/Utah/09/2014,3.1,1.06,0.11
B/CastillaLaMancha/2083/2014,Spain,2014-12-11,EPI555197,B/Utah/09/2014,3.1,1.06,0.11
B/CastillaLaMancha/2083/2014,Spain,2014-12-11,EPI555197,B/Utah/09/2014,3.1,1.06,0.11
B/Clermont-Ferrand/2467/2014,France,2014-12-17,EPI556940,B/Utah/09/2014,3.1,1.06,0.11
B/Bretagne/2216/2014,France,2014-11-24,EPI555191,B/Utah/09/2014,3.1,1.06,0.11
B/Bretagne/2216/2014,France,2014-11-24,EPI555191,B/Utah/09/2014,3.1,1.06,0.11
B/Bretagne/2216/2014,France,2014-11-24,EPI555191,B/Utah/09/2014,3.1,1.06,0.11
B/Algiers/09/2014,Algeria,2014-10-12,EPI562322,B/Utah/09/2014,3.1,1.06,0.11
B/Algiers/09/2014,Algeria,2014-10-12,EPI562322,B/Utah/09/2014,3.1,1.06,0.11
B/Bangkok/42/2015,Thailand,2015-06-06,EPIHA,B/Utah/09/2014,3.1,1.06,0.11
B/Malaysia/943/2015,Malaysia,2015-04-01,EPIHA,B/Utah/09/2014,2.9,0.86,0.11
B/Ukraine/6/2015,Ukraine,2014-12-30,EPI557966,B/Utah/09/2014,2.9,0.86,0.11
B/Ghom/90199/2014,Iran,2014-12-28,EPI556946,B/Utah/09/2014,2.9,0.86,0.11
B/Centre/2213/2014,France,2014-11-25,EPI555199,B/Utah/09/2014,3.5,1.46,0.11
B/Ukraine/6/2015,Ukraine,2014-12-30,EPI557966,B/Utah/09/2014,2.9,0.86,0.11
B/Paris/2052/2014,France,2014-10-27,EPI555213,B/Utah/09/2014,3.5,1.46,0.11
B/Switzerland/10295792/2014,Switzerland,2014-03-27,EPI530731,B/Utah/09/2014,2.9,0.86,0.11
B/Centre/2213/2014,France,2014-11-25,EPI555199,B/Utah/09/2014,3.5,1.46,0.11
B/Paris/2052/2014,France,2014-10-27,EPI555213,B/Utah/09/2014,3.5,1.46,0.11
B/Ukraine/497/2014,Ukraine,2014-12-20,EPI557964,B/Utah/09/2014,3.2,1.12,0.11
B/Ukraine/497/2014,Ukraine,2014-12-20,EPI557964,B/Utah/09/2014,3.2,1.12,0.11
B/SouthAfrica/4380/2014,South Africa,2014-06-06,EPI539452,B/Utah/09/2014,2.4,0.35,0.11
B/SouthAfrica/4380/2014,South Africa,2014-06-06,EPI539452,B/Utah/09/2014,2.4,0.35,0.11
B/Tunisia/14192/2014,Tunisia,2014-12-11,EPI562361,B/Utah/09/2014,2.4,0.35,0.11
B/SouthAfrica/4380/2014,South Africa,2014-06-06,EPI539452,B/Utah/09/2014,2.4,0.35,0.11
B/Lisboa/12/2014,Portugal,2014-12-22,EPI558616,B/Utah/09/2014,3.0,0.89,0.11
B/Lisboa/1/2015,Portugal,2015-01-04,EPI557934,B/Utah/09/2014,3.0,0.89,0.11
B/Lisboa/1/2015,Portugal,2015-01-04,EPI557934,B/Utah/09/2014,3.0,0.89,0.11
B/Netherlands/382/2014,Netherlands,2014-10-16,EPI556956,B/Utah/09/2014,2.4,0.35,0.11
B/Jordan/20555/2014,Jordan,2014-12-17,EPI562343,B/Utah/09/2014,2.4,0.35,0.11
