strain,location,collection_date,ID,serum,antigenic_distance,Tree_model_log2,Subs_model_log2
B/Brazil/16/2000,Brazil,2000-02-22,EPI156867,B/Massachusetts/02/2012,0.6,2.72,1.38
B/NewCaledonia/1/1999,New Caledonia,1999-07-28,EPI116935,B/Massachusetts/02/2012,0.6,2.72,1.38
B/NewYork/1022/2000,U S A,2000-12-29,EPI517978,B/Massachusetts/02/2012,0.6,2.72,1.38
B/Kadoma/409/2000,Zimbabwe,2000-05-01,EPI313,B/Massachusetts/02/2012,0.6,2.72,1.38
B/Quebec/452/1998,Canada,1998-04-01,EPI12495,B/Massachusetts/02/2012,0.6,2.72,1.38
B/Kadoma/409/2000,Zimbabwe,2000-05-01,EPI313,B/Massachusetts/02/2012,0.6,2.72,1.38
B/Christchurch/6/1999,New Zealand,1999-12-01,EPI116939,B/Massachusetts/02/2012,0.6,2.72,1.38
B/England/615/1998,United Kingdom,1998-09-12,EPI314878,B/Massachusetts/02/2012,0.6,2.72,1.38
B/Christchurch/6/1999,New Zealand,1999-12-01,EPI116939,B/Massachusetts/02/2012,0.6,2.72,1.38
B/Christchurch/6/1999,New Zealand,1999-12-01,EPI116939,B/Massachusetts/02/2012,0.6,2.72,1.38
B/Zagreb/3578/1999,Croatia,1999-10-01,EPI157274,B/Massachusetts/02/2012,0.6,2.72,1.38
B/Zagreb/3578/1999,Croatia,1999-10-01,EPI157274,B/Massachusetts/02/2012,0.6,2.72,1.38
B/Finland/84/2002,Finland,2002-03-01,EPI25193,B/Massachusetts/02/2012,0.6,2.72,1.38
B/Kadoma/122/1999,Zimbabwe,1999-03-01,EPI437,B/Massachusetts/02/2012,0.6,2.72,1.38
