,R0_v_mean,R0_y_mean,w_v_mean,w_y_mean,cv_mean,cy_mean,tv_0_mean,ty_0_mean,det_prob_v_mean,det_prob_y_mean,confirmed_dispersion_v_mean,confirmed_dispersion_y_mean,S_rate_ini_mean,Rcv_rate_ini_mean,Rcy_rate_ini_mean,Rv_rate_ini_mean,Ry_rate_ini_mean,R_rate_ini_mean,R0_v_std,R0_y_std,w_v_std,w_y_std,cv_std,cy_std,tv_0_std,ty_0_std,det_prob_v_std,det_prob_y_std,confirmed_dispersion_v_std,confirmed_dispersion_y_std,S_rate_ini_std,Rcv_rate_ini_std,Rcy_rate_ini_std,Rv_rate_ini_std,Ry_rate_ini_std,R_rate_ini_std,R0_v_neff,R0_y_neff,w_v_neff,w_y_neff,cv_neff,cy_neff,tv_0_neff,ty_0_neff,det_prob_v_neff,det_prob_y_neff,confirmed_dispersion_v_neff,confirmed_dispersion_y_neff,S_rate_ini_neff,Rcv_rate_ini_neff,Rcy_rate_ini_neff,Rv_rate_ini_neff,Ry_rate_ini_neff,R_rate_ini_neff,R0_v_rhat,R0_y_rhat,w_v_rhat,w_y_rhat,cv_rhat,cy_rhat,tv_0_rhat,ty_0_rhat,det_prob_v_rhat,det_prob_y_rhat,confirmed_dispersion_v_rhat,confirmed_dispersion_y_rhat,S_rate_ini_rhat,Rcv_rate_ini_rhat,Rcy_rate_ini_rhat,Rv_rate_ini_rhat,Ry_rate_ini_rhat,R_rate_ini_rhat,bv_log_likelihood_mean,bv_log_likelihood_std,by_log_likelihood_mean,by_log_likelihood_std,runtime,bv_rmse,by_rmse,bv_mape,by_mape,bv_mae,by_mae,bv_corr,by_corr,bv_r2,by_r2,file_num,log_likelihood_sum,log_likelihood_std,neff_mean,rhat_mean
10,1.631,1.177,0.265,0.489,0.156,0.727,19.177,19.945,0.233,0.434,0.759,1.67,0.623,0.098,0.014,0.3,0.301,0.499,0.019,0.014,0.016,0.018,0.02,0.019,0.197,0.17,0.015,0.014,0.08,0.099,0.019,0.002,0.004,0.017,0.02,0.017,1812.0,1168.0,1575.0,1336.0,1950.0,1995.0,1332.0,1435.0,2006.0,1377.0,1401.0,1980.0,2013.0,635.0,1096.0,1705.0,1472.0,1457.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-548.3364236455164,4.901005804043139,-894.3783193685895,12.11120588206189,0.0700655033853318,53.81063990810982,129.49341972329708,412094083550242.56,0.8163804163555217,23.9281045751634,63.6797385620915,0.6523132473828817,0.3407434523501345,-4.213878700776881,-0.0881546645798425,11,-1442.7147430141058,17.01221168610503,1541.388888888889,1.0005555555555554
11,1.348,1.008,0.827,0.676,0.343,0.423,13.318,17.666,0.935,0.965,1.066,0.74,0.412,0.03,0.091,0.532,0.129,0.244,0.018,0.007,0.02,0.019,0.02,0.02,0.18,0.167,0.021,0.017,0.084,0.068,0.018,0.013,0.008,0.019,0.013,0.016,1094.0,903.0,1243.0,1846.0,1427.0,1477.0,1447.0,1318.0,797.0,978.0,1578.0,1818.0,1649.0,977.0,871.0,1538.0,797.0,1306.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-596.1130181959119,5.213820477101526,-720.0213380074498,5.159349281215668,0.1155355183945761,435.3469561421352,285.32925597233367,485682312755645.2,0.8583995399206412,114.84640522875816,102.7843137254902,0.3690854051305413,0.5250673243703883,-340.2680528614172,-4.283087890837554,12,-1316.1343562033617,10.373169758317195,1281.3333333333333,1.0
12,1.702,1.234,0.211,0.415,0.661,0.04,15.86,18.0,0.432,0.611,0.623,0.996,0.183,0.041,0.049,0.388,0.285,0.141,0.018,0.011,0.013,0.018,0.02,0.016,0.188,0.171,0.02,0.018,0.074,0.089,0.016,0.016,0.016,0.018,0.018,0.016,1034.0,626.0,1006.0,1150.0,1103.0,792.0,1757.0,1134.0,1511.0,1233.0,1370.0,1121.0,796.0,588.0,788.0,1135.0,799.0,454.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.01,1.0,1.0,1.01,-527.5942602973005,3.920349764399385,-763.777086202672,8.488133939864841,0.1336549525790744,138.41452849808218,123.00929876110726,853623458782644.2,0.6992119740468484,44.16339869281046,59.07843137254902,0.645354475215742,0.5062441862725973,-33.49752716176045,0.0180912878792268,13,-1291.3713464999723,12.408483704264226,1022.0555555555555,1.0022222222222223
13,1.811,1.158,0.7,0.712,0.061,0.376,16.184,20.409,0.678,0.789,0.916,1.293,0.356,0.094,0.012,0.433,0.276,0.669,0.022,0.014,0.02,0.02,0.019,0.019,0.184,0.175,0.019,0.019,0.082,0.092,0.016,0.005,0.002,0.018,0.017,0.018,1662.0,1237.0,1191.0,1217.0,604.0,1369.0,1389.0,1216.0,1434.0,1023.0,1289.0,1432.0,1224.0,537.0,1111.0,1373.0,1328.0,1322.0,1.0,1.0,1.0,1.01,1.01,1.0,1.0,1.01,1.0,1.0,1.01,1.0,1.0,1.01,1.0,1.0,1.0,1.0,-570.4292016357854,4.424553882143184,-818.5257438516021,9.923119811770356,0.0713017166985405,322.94894778558574,278.11697590686856,353223500185923.6,1.0566352499282774,105.24183006535948,105.20261437908496,0.6422064201629645,0.3391741176462811,-186.7986031786909,-4.019381721838375,14,-1388.9549454873875,14.347673693913539,1219.888888888889,1.0027777777777775
14,2.841,1.098,0.913,0.248,0.038,0.47,18.782,17.508,0.957,0.953,1.389,0.58,0.728,0.077,0.027,0.885,0.227,0.206,0.019,0.012,0.02,0.013,0.017,0.019,0.179,0.175,0.019,0.019,0.08,0.061,0.02,0.015,0.012,0.012,0.019,0.018,1308.0,1245.0,1173.0,1168.0,647.0,1471.0,1249.0,1107.0,417.0,736.0,1338.0,1145.0,1463.0,1249.0,668.0,942.0,1369.0,1162.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-646.4850871394756,4.52860233591499,-688.031804158385,4.294242567562072,0.0927309832970301,1033.9188252734843,93.80583304744694,353223500185954.7,0.6614090069623951,283.37254901960785,41.78104575163399,0.2018545978270868,0.7069862618918699,-1923.8526785157983,0.4289752700422617,15,-1334.5168912978606,8.822844903477062,1103.1666666666667,1.0005555555555554
15,2.239,1.155,0.326,0.729,0.4,0.208,17.046,16.727,0.215,0.392,0.761,1.465,0.447,0.062,0.043,0.885,0.392,0.499,0.02,0.015,0.019,0.021,0.02,0.02,0.176,0.149,0.014,0.014,0.077,0.1,0.017,0.017,0.016,0.012,0.017,0.016,1513.0,745.0,870.0,1025.0,883.0,970.0,1174.0,1148.0,841.0,769.0,1021.0,1242.0,1191.0,1013.0,474.0,483.0,1127.0,1500.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.02,1.01,1.01,1.0,1.01,1.0,1.0,1.0,-554.7911471963399,5.640181383497997,-871.9181174680642,9.69593175988942,0.1103844484355714,72.34165715185908,104.40406673270346,294352916821602.0,0.8175017592879681,32.41503267973856,52.60130718954248,0.8462950007681731,0.6291865373205893,-8.423267420979249,0.2926570015370475,16,-1426.7092646644041,15.336113143387418,999.3888888888889,1.0033333333333332
16,2.072,1.169,0.179,0.713,0.742,0.685,19.846,17.219,0.342,0.543,0.886,1.29,0.115,0.093,0.013,0.263,0.212,0.176,0.021,0.04,0.014,0.027,0.021,0.019,0.189,0.177,0.021,0.02,0.078,0.123,0.011,0.006,0.003,0.018,0.017,0.024,63.0,3.0,1201.0,4.0,53.0,1145.0,927.0,14.0,1168.0,7.0,965.0,4.0,18.0,1003.0,714.0,23.0,7.0,3.0,1.03,1.82,1.0,1.4,1.03,1.01,1.01,1.1,1.01,1.22,1.01,1.46,1.09,1.0,1.01,1.07,1.2,1.66,-565.6882667923858,4.171048923018687,-827.8263091380912,15.662595517135156,0.139803899526596,110.99576038538324,105.81480461550262,1059670500557766.4,0.6767623333033904,42.22222222222222,46.48039215686274,0.6425892421297139,0.6278184892742587,-21.18387407632015,0.2734122079802844,17,-1393.514575930477,19.833644440153844,406.77777777777777,1.173888888888889
17,2.743,1.208,0.299,0.607,0.149,0.348,14.712,19.71,0.419,0.516,1.685,1.747,0.444,0.083,0.019,0.674,0.776,0.511,0.02,0.014,0.026,0.019,0.02,0.02,0.192,0.164,0.018,0.015,0.1,0.093,0.023,0.013,0.008,0.021,0.022,0.021,2012.0,1288.0,1852.0,1372.0,1816.0,1742.0,2186.0,1330.0,2022.0,1149.0,1813.0,1756.0,1798.0,1085.0,925.0,1488.0,1370.0,1518.0,1.0,1.0,1.0,1.01,1.0,1.01,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-711.1232734496375,10.407271521596426,-909.8158534941142,10.320787262606546,0.0670288799868689,275.1004510536736,129.5076965436892,382658791868097.7,0.8462730013835029,89.69281045751634,63.8921568627451,0.1415639212045201,0.3174856364768831,-135.272183546626,-0.0883946187819448,18,-1620.9391269437517,20.72805878420297,1584.5555555555557,1.0016666666666667
18,2.588,1.246,0.723,0.314,0.787,0.431,14.323,16.185,0.822,0.818,1.67,0.663,0.893,0.094,0.018,0.291,0.512,0.364,0.02,0.004,0.019,0.013,0.02,0.019,0.196,0.168,0.018,0.018,0.088,0.067,0.007,0.006,0.007,0.019,0.019,0.019,1335.0,1136.0,1082.0,1315.0,1189.0,1191.0,1654.0,1314.0,1302.0,1430.0,1431.0,1497.0,1009.0,1082.0,914.0,1444.0,1223.0,1484.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-704.833659342134,6.2534361453707215,-703.3621745452776,5.037490785711611,0.0860538223716947,1113.2118072396545,104.30885197962438,353223500185981.8,0.6133968169694781,253.8986928104575,50.91503267973856,0.0197706152818621,0.643320004180609,-2230.4143310737186,0.2939465830686285,19,-1408.1958338874115,11.290926931082332,1279.5555555555557,1.0005555555555554
19,2.007,1.245,0.765,0.391,0.387,0.572,16.409,14.288,0.756,0.809,1.443,1.234,0.851,0.095,0.015,0.279,0.296,0.799,0.022,0.004,0.022,0.015,0.02,0.018,0.2,0.183,0.019,0.019,0.094,0.087,0.02,0.005,0.005,0.02,0.021,0.02,1599.0,963.0,1054.0,1010.0,980.0,1609.0,1052.0,1518.0,1475.0,804.0,1265.0,1156.0,524.0,644.0,1184.0,1067.0,1438.0,1213.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-660.7899834708832,7.309389415083074,-806.8187568340044,7.875973066424424,0.0848620554473665,655.4688151598509,74.17243863858577,353223500185938.4,0.5834606074180078,187.6895424836601,38.61111111111112,0.163118098087185,0.904206306067262,-772.6217632264309,0.6429900305726821,20,-1467.6087403048875,15.185362481507498,1141.9444444444443,1.001111111111111
