,model,accuracy_cv,accuracy_test,precision_cv,precision_test,recall_cv,recall_test,auc_cv,auc_test,f1-score_cv,f1-score_test
0,xgboost,0.7958531683063577,0.7732558139534884,0.8080161333831448,0.8095238095238095,0.7697266483516483,0.7472527472527473,0.8500055785062408,0.7748609415276082,0.7873580394084796,0.7771428571428571
1,lightgbm,0.8074896858140272,0.7732558139534884,0.8201251234145971,0.7888888888888889,0.7820361721611722,0.7802197802197802,0.8487362213531255,0.7728259394926061,0.8001016029828542,0.7845303867403316
2,random-forest,0.7798476674071723,0.7732558139534884,0.7925837292816605,0.7954545454545454,0.7511021062271063,0.7692307692307693,0.8465074365197616,0.7735042735042735,0.7696499013648544,0.782122905027933
3,svm,0.7798582460594521,0.75,0.792958224780415,0.7790697674418605,0.7514349816849817,0.7362637362637363,0.8220346980151548,0.7508479175145842,0.7705845543345543,0.7570621468926554
