,week_startdate,year_week,year_month,season,time,ILI%,ILI_total,total_patients,total_samples_phl,H1pdm09_phl,H3N2_phl,H3N2v_phl,A_unspecified_phl,B_unspecified_phl,Victoria_phl,Yamagata_phl,total_samples_cli,A_unspecified_cli,B_unspecified_cli,total_samples,A_unspecified,B_unspecified,H1pdm09_estimate,H3N2_estimate,H3N2v_estimate,Victoria_estimate,Yamagata_estimate,positive_samples,positive_rate,H1N1,H3N2,H3N2v,Victoria,Yamagata,H1N1_proporation,H3N2_proporation,H3N2v_proporation,Victoria_proporation,Yamagata_proporation,population,H1N1_IR,H3N2_IR,Victoria_IR,Yamagata_IR,H1N1_IR_rolling,H3N2_IR_rolling,Victoria_IR_rolling,Yamagata_IR_rolling,BV_antigenic_rate,BV_antigenic_transition,BY_antigenic_rate,BY_antigenic_transition
30,2016-05-01,2016-18,2016-M5,2015-2016,2016.3461538461536,0.0160143549061669,11870,741210,1125,77,59,0,2,80,53,82,15380,427,822,16505,429,902,242.88970588235293,186.11029411764707,0.0,354.11851851851856,547.8814814814815,1602,0.0970614965162072,319.8897058823529,245.11029411764707,0.0,407.11851851851856,629.8814814814815,0.199681464346038,0.1530026804729382,0.0,0.2541314098118093,0.3931844453692144,322548296,100112.64526712046,76709.68923065075,127411.76435702396,197127.63542030123,256115.4810246156,114584.588910364,161328.29122122086,276810.9300821261,0.6972993657044533,0,0.9465325078888632,0
31,2016-05-08,2016-19,2016-M5,2015-2016,2016.3653846153843,0.0147429789437158,10707,726244,1019,53,62,0,2,53,36,71,14090,280,662,15109,282,715,129.96521739130435,152.03478260869565,0.0,240.56074766355135,474.4392523364486,1219,0.0806803891720166,182.96521739130435,214.03478260869565,0.0,276.5607476635514,545.4392523364486,0.1500945179584121,0.1755822662909726,0.0,0.2268751006263752,0.44744811512424,322548296,57585.45623175065,67364.11861072718,87043.19354830866,171668.52060916432,162797.82802204596,98520.81439573676,139955.9700350037,240323.9082926708,0.6972993657044533,0,0.9465325078888632,0
32,2016-05-15,2016-20,2016-M5,2015-2016,2016.3846153846157,0.0142286222139608,9798,688612,816,35,77,0,4,44,14,50,12545,224,505,13361,228,549,71.25,156.75,0.0,120.09375,428.90625,953,0.0713269964822992,106.25,233.75,0.0,134.09375,478.90625,0.1114900314795383,0.2452780692549842,0.0,0.1407069779643232,0.5025249213011542,322548296,36496.19388621448,80291.62654967187,46060.34351933716,164501.22685477557,93801.95859107716,82647.23707076217,107118.13832274628,197384.96422135367,0.6972993657044533,0,0.9465325078888632,0
33,2016-05-22,2016-21,2016-M5,2015-2016,2016.4038461538464,0.0138196230154049,8787,635835,639,16,44,0,2,30,22,32,11591,139,408,12230,141,438,37.6,103.4,0.0,178.44444444444443,259.55555555555554,693,0.0566639411283728,53.6,147.39999999999998,0.0,200.44444444444443,291.55555555555554,0.0773448773448773,0.2126984126984126,0.0,0.2892416225749559,0.420715087381754,322548296,19535.71364080088,53723.21251220241,73056.44155888222,106263.91499473776,53432.50225647174,69522.16172581304,83392.935745888,159890.32446974472,0.6972993657044533,0,0.9465325078888632,0
34,2016-05-29,2016-22,2016-M5,2015-2016,2016.423076923077,0.0133711879908439,7997,598077,482,4,13,0,1,24,14,35,10067,82,226,10549,83,250,19.52941176470588,63.47058823529412,0.0,71.42857142857143,178.57142857142858,399,0.0378234903782349,23.52941176470588,76.47058823529412,0.0,85.42857142857143,213.57142857142856,0.0589709568037741,0.1916556096122659,0.0,0.2141066953097028,0.5352667382742571,322548296,9619.76636077552,31264.24067252045,34926.62315130141,87316.55787825353,30809.2825298855,58160.79958628048,60271.65044445736,132437.55508423282,0.6972993657044533,0,0.9465325078888632,0
35,2016-06-05,2016-23,2016-M6,2015-2016,2016.442307692308,0.0113894459804002,7201,632252,464,5,15,0,1,14,6,17,9172,70,207,9636,71,221,17.75,53.25,0.0,57.65217391304348,163.3478260869565,335,0.0347654628476546,22.75,68.25,0.0,63.65217391304348,180.3478260869565,0.067910447761194,0.203731343283582,0.0,0.190006489292667,0.5383517196625567,322734136,8678.24911084178,26034.74733252534,24280.85369951718,68795.752148632,18582.48074965828,47828.456766730014,44581.065482259495,106719.36296909976,0.6972993657044533,0,0.9465325078888632,0
36,2016-06-12,2016-24,2016-M6,2015-2016,2016.4615384615383,0.0109641058373171,6768,617287,424,7,18,0,0,6,6,10,8364,59,94,8788,59,100,16.520000000000003,42.48,0.0,37.5,62.5,200,0.0227583067819754,23.520000000000003,60.48,0.0,43.5,72.5,0.1176,0.3024,0.0,0.2175,0.3625,322734136,9470.33609448538,24352.29281439097,17515.289970668113,29192.14995111352,11826.016301726006,33843.6233329098,37444.80209509223,72892.09374318423,0.6972993657044533,0,0.9465325078888632,0
37,2016-06-19,2016-25,2016-M6,2015-2016,2016.4807692307693,0.0099955862783034,6024,602666,320,5,22,0,0,10,9,11,7417,44,83,7737,44,93,8.148148148148147,35.85185185185185,0.0,41.85,51.150000000000006,184,0.02378182758175,13.148148148148149,57.85185185185185,0.0,50.85,62.150000000000006,0.0714573268921095,0.3144122383252817,0.0,0.2763586956521739,0.3377717391304348,322734136,5482.077463158298,24121.140837896502,21201.74155786813,25913.239681838822,8312.607257315361,26443.10541433332,24481.12709483871,52804.4249149595,0.6972993657044533,0,0.9465325078888632,0
38,2016-06-26,2016-26,2016-M6,2015-2016,2016.5,0.0099094969788756,5686,573793,325,3,18,0,3,4,6,9,6298,26,51,6623,29,55,4.142857142857142,24.85714285714285,0.0,22.0,33.0,120,0.0181186773365544,7.142857142857142,42.85714285714285,0.0,28.0,42.0,0.0595238095238095,0.3571428571428571,0.0,0.2333333333333333,0.35,322734136,3449.16303107358,20694.97818644148,13520.719081808436,20281.07862271265,6769.956424889876,23800.78979281357,19129.651077465463,36045.55510107428,0.6972993657044533,0,0.9465325078888632,0
39,2016-07-03,2016-27,2016-M7,2015-2016,2016.5192307692307,0.0093125320698276,5118,549582,271,2,18,0,0,5,5,9,5978,24,30,6249,24,35,2.4000000000000004,21.6,0.0,12.5,22.5,93,0.0148823811809889,4.4,39.6,0.0,17.5,31.5,0.0473118279569892,0.4258064516129032,0.0,0.1881720430107527,0.3387096774193548,322941311,2117.549333906635,19057.94400515972,8422.071214401389,15159.7281859225,5129.78148065609,22056.588960972167,15164.955456186515,22636.549110396903,0.6972993657044533,0,0.9465325078888632,0
40,2016-07-10,2016-28,2016-M7,2015-2016,2016.5384615384612,0.0084311824243551,5078,602288,291,1,21,0,1,3,2,11,6328,24,31,6619,25,34,1.1363636363636365,23.863636363636363,0.0,5.230769230769231,28.76923076923077,94,0.0142015410182807,2.1363636363636367,44.86363636363636,0.0,7.230769230769231,39.76923076923077,0.0227272727272727,0.4772727272727272,0.0,0.0769230769230769,0.4230769230769231,322941311,878.8097896816736,18455.005583315145,2974.433134307203,16359.382238689615,2981.899904455164,20582.26715320321,11529.741247096288,19428.357182290925,0.6972993657044533,0,0.9465325078888632,0
41,2016-07-17,2016-29,2016-M7,2015-2016,2016.5576923076924,0.008402857371325,5044,600272,297,2,18,0,1,4,0,10,5888,24,26,6185,25,30,2.5,22.5,0.0,0.0,30.0,85,0.0137429264349232,4.5,40.5,0.0,0.0,40.0,0.0529411764705882,0.4764705882352941,0.0,0.0,0.4705882352941176,322941311,1974.3466435550024,17769.11979199502,0.0,17549.747942711136,2104.9671995543395,18994.26189172784,6229.305857629257,17337.484247509004,0.6972993657044533,0,0.9465325078888632,0
42,2016-07-24,2016-30,2016-M7,2015-2016,2016.576923076923,0.0083006504002009,4925,593327,298,2,38,1,0,2,2,10,5756,20,25,6054,20,27,0.975609756097561,18.53658536585366,0.4878048780487805,4.5,22.5,100,0.0165180046250412,2.975609756097561,56.53658536585366,1.4878048780487805,6.5,32.5,0.0297560975609756,0.5653658536585366,0.0148780487804878,0.065,0.325,322941311,1317.556610553851,25033.57560052317,2878.105218955749,14390.526094778745,1572.065594424407,20078.911245248262,3568.652391916085,15864.846115525528,0.6972993657044533,0,0.9465325078888632,0
