time_plot,S_y0.00_n0.10,Iv_y0.00_n0.10,Iy_y0.00_n0.10,Rcv_y0.00_n0.10,Rcy_y0.00_n0.10,Rv_y0.00_n0.10,Ry_y0.00_n0.10,Jv_y0.00_n0.10,Jy_y0.00_n0.10,R_y0.00_n0.10,CV_y0.00_n0.10,CY_y0.00_n0.10,BV_y0.00_n0.10,BY_y0.00_n0.10,step
2015.8076923076924,32585.85472660211,0.3673715301758976,0.3673715301758976,3600.24099572379,440.84583621107,15576.55287945805,16348.033092827442,0.3673715301758976,0.3673715301758976,31447.00298305682,0.0,0.0,,,0
2015.826923076923,32734.40152538096,2.066061116175793,1.3879989541380762,2860.6743364947715,351.81309650296896,16391.739432582926,16509.359912104974,0.6460723808631151,0.31551921819882917,31147.596045264007,5.522389815849521,3.5947977981873507,0.4694031343472093,1.977138789003043,1
2015.8461538461538,32883.73983574267,3.4741559050344146,1.7858989309857711,2276.2350771043475,282.2527608883064,17049.53384766133,16648.934603669597,1.292185795459196,0.46107559780298746,30852.290558704455,15.251840658865165,8.244920083443379,0.8270033216563298,2.557567256890816,2
2015.8653846153845,33032.99998082725,4.968546152109746,2.0481824446179604,1814.8793332422233,227.59152702204122,17582.646800657658,16770.65900183719,2.0488837621012888,0.6031266571929302,30561.554617397607,29.58857243071718,13.702816255127226,1.2186222006074212,3.001842894426116,3
2015.8846153846155,33181.14940076955,6.676940454795007,2.2872726457521315,1451.535855522422,184.64040008606304,18017.03852283495,16877.454081581975,2.9235239938347273,0.7424350968686668,30275.5515670138,49.208449406318124,19.928249348131125,1.6676895429260805,3.4239882011521443,4
2015.9038461538462,33326.99562677175,8.711984120978007,2.5417710739221233,1166.5065694669674,150.9866532587311,18373.385939178865,16971.47965114727,3.965799284963428,0.89234365739355,29994.533662039048,75.11852033140116,26.979193830445958,2.202356028632058,3.8780194652731583,5
2015.923076923077,33469.13090575584,11.209615286922045,2.8313628058789946,944.3779701708733,124.76327332251333,18668.22572374305,17054.258808343806,5.243610440812472,1.0628791184131903,29718.895851011875,108.74162047900641,34.97165571413347,2.857963512546447,4.3958540360281315,6
2015.9423076923076,33605.84197192345,14.344059789453398,3.1699108982480677,773.1969809466854,104.51694093259584,18914.865934573427,17126.75076872666,6.845092422306938,1.2619587100854899,29449.20638107709,152.03582637324448,44.06530144807338,3.6800075010102353,5.00150515366695,7
2015.9615384615386,33734.990155831634,18.341772828998753,3.569331109084699,643.8414701059936,89.11649653072955,19124.124585434678,17189.384701463838,8.884878294795511,1.4967232107223771,29186.24988518948,207.65541266558887,54.458633831695686,4.727664834849274,5.71633281099227,8
2015.9807692307693,33853.861925148274,23.496714252696794,4.040483680150755,549.5472539399631,77.68402810145,19304.937925130616,17242.059823144897,11.511656035965437,1.7739665381790806,28931.086224027797,279.15894840125395,66.38653363935343,6.077800537531532,6.56034489421176,9
2016.0,33958.99143242096,30.185679132736364,4.592531337254195,485.56101753704485,69.54010976493008,19464.872964800656,17284.11587583036,14.915826077441254,2.099848595785611,28685.12471450278,371.26538795375023,80.11582103025516,7.829047361962185,7.551108064995953,10
2016.0192307692307,34045.96439291061,38.87974982836431,5.231032216467955,448.8900194866149,64.15778900998366,19610.571755983376,17314.280558299226,19.33519109372776,2.478960663880396,28450.210550507752,490.14707383681815,95.93501816443394,10.104943300060773,8.700558423798329,11
2016.0384615384617,34109.228754776814,50.14405925256841,5.954724760352277,438.11467158824496,61.12119323676149,19748.14769156416,17330.60729658721,25.054629156101722,2.912716896526702,28228.71426218124,643.724738816584,114.13425515326855,13.0541015232801,10.009580343859039,12
2016.0576923076924,34141.9648952866,64.61200353874375,6.751168129089503,453.2177407346474,60.08534607604429,19883.545224139958,17330.42942705258,32.39330215473393,3.396958965274877,28023.60393392227,841.8887179054603,134.97128703563803,16.84393822255449,11.460367535303211,13
2016.076923076923,34136.109043352655,82.91457329040185,7.591539059286133,495.36174911970477,60.735458335327436,20022.859805242046,17310.376734765512,41.66847320708438,3.9191794727971447,27838.463444155168,1096.5078266641374,158.62089008450684,21.64262424448755,13.007281676877847,14
2016.0961538461538,34082.67053420673,105.5398595045582,8.426228428260572,566.519608039048,62.7456096268625,20172.596241964387,17266.524533479194,53.12482171057117,4.4556429967202105,27677.3969200436,1421.0129166105219,185.10880738306136,27.582932645442682,14.568354514204987,15
2016.1153846153845,33972.51897013334,132.605625538867,9.183472747118026,668.8420094001458,65.74104098155848,20339.814877893263,17194.765032376552,66.81957815019587,4.969665379726828,27544.739727399217,1829.2817044417848,214.23846483011758,34.70284696565735,16.02131159588092,16
2016.1346153846155,33797.79354788439,163.5560963882993,9.774042525142812,803.6595506931203,69.27282199634944,20532.086362127924,17091.482570939115,82.46886467293213,5.4126764998035215,27444.493466272903,2333.5773892212874,245.52844797540334,42.865133206257724,17.20949072990717,17
2016.1538461538462,33553.941774746556,196.8535477301363,10.104811200977917,970.1125625338253,72.81672371557049,20757.157702621524,16954.545973342516,99.29211008190265,5.729215865913023,27379.445578161096,2941.5033268603624,278.18735556416544,51.673704699321384,17.962399173819158,18
2016.173076923077,33242.083485304254,229.8179591872797,10.100383512451854,1163.609307346307,75.80765949214569,21022.252133605663,16784.477835537313,115.93082400339723,5.86673405406299,27350.05367795711,3652.404512561547,311.1535315598609,60.4266007846007,18.13139679763249,19
2016.1923076923076,32870.98423765485,258.81305466863574,9.72725992948755,1374.6088418343447,77.71114843564531,21333.010065954106,16585.452079926,130.5427967856934,5.788712075744489,27353.361802735388,4454.282164650134,343.2132365548846,68.15960042752991,17.63283774726304,20
