,combination,extinction_size
113,BY_y0.00_n0.12_r1.001,8153.3504224727885
114,BY_y0.00_n0.13_r1.001,7310.433432072459
115,BY_y0.00_n0.14_r1.001,6502.2717081763485
116,BY_y0.00_n0.15_r1.001,5741.5411101442405
117,BY_y0.00_n0.16_r1.001,5038.814666250402
118,BY_y0.00_n0.17_r1.001,4402.76876016032
119,BY_y0.00_n0.18_r1.001,3838.2090341921585
120,BY_y0.00_n0.19_r1.001,3345.373015147837
121,BY_y0.00_n0.20_r1.001,2921.927056036703
122,BY_y0.00_n0.21_r1.001,2563.0725886089826
123,BY_y0.00_n0.22_r1.001,2261.3723318848442
124,BY_y0.00_n0.23_r1.001,2010.5875865701466
125,BY_y0.00_n0.24_r1.001,1802.3292475488033
126,BY_y0.00_n0.25_r1.001,1630.1677769860119
127,BY_y0.00_n0.26_r1.001,1487.5710990142513
128,BY_y0.00_n0.27_r1.001,1369.685275343687
129,BY_y0.00_n0.28_r1.001,1271.5625337629303
130,BY_y0.00_n0.29_r1.001,1189.4178510067645
131,BY_y0.00_n0.30_r1.001,1120.8331897832193
132,BY_y0.00_n0.31_r1.001,1062.793924520453
133,BY_y0.00_n0.32_r1.001,1013.4088243437992
134,BY_y0.00_n0.33_r1.001,971.0561093543585
135,BY_y0.00_n0.34_r1.001,934.7889842614359
136,BY_y0.00_n0.35_r1.001,903.1516568612407
137,BY_y0.00_n0.36_r1.001,875.5684961604633
138,BY_y0.00_n0.37_r1.001,851.3613579809079
139,BY_y0.00_n0.38_r1.001,829.7155286948758
140,BY_y0.00_n0.39_r1.001,810.648412125926
141,BY_y0.00_n0.40_r1.001,793.6207140132468
142,BY_y0.00_n0.41_r1.001,778.2228179187199
143,BY_y0.00_n0.42_r1.001,764.2094827932787
144,BY_y0.00_n0.43_r1.001,751.6271092090236
145,BY_y0.00_n0.44_r1.001,740.0997753008909
146,BY_y0.00_n0.45_r1.001,729.4630201003587
147,BY_y0.00_n0.46_r1.001,719.7120287383243
148,BY_y0.00_n0.47_r1.001,710.7960348037074
149,BY_y0.00_n0.48_r1.001,702.3344286596496
150,BY_y0.00_n0.49_r1.001,694.5885713613652
151,BY_y0.00_n0.50_r1.001,687.3777137700323
152,BY_y0.00_n0.51_r1.001,680.6846998751407
153,BY_y0.00_n0.52_r1.001,674.3953216341012
154,BY_y0.00_n0.53_r1.001,668.3898643346595
155,BY_y0.00_n0.54_r1.001,662.8603291648859
156,BY_y0.00_n0.55_r1.001,657.5711901219373
157,BY_y0.00_n0.56_r1.001,652.6136369406936
158,BY_y0.00_n0.57_r1.001,647.9353001652275
159,BY_y0.00_n0.58_r1.001,643.4967036380501
160,BY_y0.00_n0.59_r1.001,639.2289099113572
161,BY_y0.00_n0.60_r1.001,635.2695613491496
162,BY_y0.00_n0.61_r1.001,631.4414209956217
163,BY_y0.00_n0.62_r1.001,627.7539962337562
164,BY_y0.00_n0.63_r1.001,624.3028594669311
165,BY_y0.00_n0.64_r1.001,620.9261195661418
166,BY_y0.00_n0.65_r1.001,617.753901090141
167,BY_y0.00_n0.66_r1.001,614.7146439069306
168,BY_y0.00_n0.67_r1.001,611.8281459502625
169,BY_y0.00_n0.68_r1.001,609.0051511905915
170,BY_y0.00_n0.69_r1.001,606.293391780903
171,BY_y0.00_n0.70_r1.001,603.7637815100265
172,BY_y0.00_n0.71_r1.001,601.3003315086244
173,BY_y0.00_n0.72_r1.001,598.8731221100436
174,BY_y0.00_n0.73_r1.001,596.60651907068
175,BY_y0.00_n0.74_r1.001,594.3352980443967
176,BY_y0.00_n0.75_r1.001,592.1592215803366
177,BY_y0.00_n0.76_r1.001,590.1170522572647
178,BY_y0.00_n0.77_r1.001,588.1370580626699
179,BY_y0.00_n0.78_r1.001,586.1909841047589
180,BY_y0.00_n0.79_r1.001,584.3432898222163
181,BY_y0.00_n0.80_r1.001,582.5133791927567
182,BY_y0.00_n0.81_r1.001,580.7692100958886
183,BY_y0.00_n0.82_r1.001,579.0700916889513
184,BY_y0.00_n0.83_r1.001,577.4479449973309
185,BY_y0.00_n0.84_r1.001,575.7777714827898
186,BY_y0.00_n0.85_r1.001,574.2540226894336
187,BY_y0.00_n0.86_r1.001,572.7546468078167
188,BY_y0.00_n0.87_r1.001,571.2936011214417
189,BY_y0.00_n0.88_r1.001,569.8672752672605
190,BY_y0.00_n0.89_r1.001,568.5023508260381
191,BY_y0.00_n0.90_r1.001,567.1847649112271
192,BY_y0.00_n0.91_r1.001,565.8723405662539
193,BY_y0.00_n0.92_r1.001,564.5800669745694
194,BY_y0.00_n0.93_r1.001,563.369222701375
195,BY_y0.00_n0.94_r1.001,562.1312658133202
196,BY_y0.00_n0.95_r1.001,560.9856526650811
197,BY_y0.00_n0.96_r1.001,559.7958521626276
198,BY_y0.00_n0.97_r1.001,558.7248757606753
199,BY_y0.00_n0.98_r1.001,557.6096559092965
200,BY_y0.00_n0.99_r1.001,556.5180614376709
201,BY_y0.00_n1.00_r1.001,555.5069220923668
202,BY_y0.00_n0.00_r1.002,17568.852427766327
203,BY_y0.00_n0.01_r1.002,16834.529649427634
204,BY_y0.00_n0.02_r1.002,16176.689829935021
205,BY_y0.00_n0.03_r1.002,15487.427954431032
206,BY_y0.00_n0.04_r1.002,14766.309909440974
207,BY_y0.00_n0.05_r1.002,14013.689889473893
208,BY_y0.00_n0.06_r1.002,13230.692647424068
209,BY_y0.00_n0.07_r1.002,12418.726256054166
210,BY_y0.00_n0.08_r1.002,11582.281399651056
211,BY_y0.00_n0.09_r1.002,10726.449619568908
212,BY_y0.00_n0.10_r1.002,9857.926048496149
213,BY_y0.00_n0.11_r1.002,8986.656774024987
214,BY_y0.00_n0.12_r1.002,8123.869003612485
215,BY_y0.00_n0.13_r1.002,7282.09677444582
216,BY_y0.00_n0.14_r1.002,6475.759843790524
217,BY_y0.00_n0.15_r1.002,5716.887524051201
218,BY_y0.00_n0.16_r1.002,5015.8149059898
219,BY_y0.00_n0.17_r1.002,4381.8464601802125
220,BY_y0.00_n0.18_r1.002,3819.2367582730585
221,BY_y0.00_n0.19_r1.002,3329.481016176925
222,BY_y0.00_n0.20_r1.002,2907.601712069066
223,BY_y0.00_n0.21_r1.002,2550.391721091504
224,BY_y0.00_n0.22_r1.002,2250.8741878520923
225,BY_y0.00_n0.23_r1.002,2001.2260745377066
226,BY_y0.00_n0.24_r1.002,1794.182586541408
227,BY_y0.00_n0.25_r1.002,1622.8098523010776
228,BY_y0.00_n0.26_r1.002,1481.350353167715
229,BY_y0.00_n0.27_r1.002,1364.176641754168
230,BY_y0.00_n0.28_r1.002,1266.453812989762
231,BY_y0.00_n0.29_r1.002,1184.908111239319
232,BY_y0.00_n0.30_r1.002,1116.5004836377705
233,BY_y0.00_n0.31_r1.002,1058.7656357537494
234,BY_y0.00_n0.32_r1.002,1009.646091090593
235,BY_y0.00_n0.33_r1.002,967.8673251533287
236,BY_y0.00_n0.34_r1.002,931.627032015497
237,BY_y0.00_n0.35_r1.002,900.0641106810958
238,BY_y0.00_n0.36_r1.002,872.6344108291526
239,BY_y0.00_n0.37_r1.002,848.547501800252
240,BY_y0.00_n0.38_r1.002,827.1288326611412
241,BY_y0.00_n0.39_r1.002,808.0583019537772
242,BY_y0.00_n0.40_r1.002,791.099295740893
243,BY_y0.00_n0.41_r1.002,775.8230008829524
244,BY_y0.00_n0.42_r1.002,761.9492857369537
245,BY_y0.00_n0.43_r1.002,749.2516904572492
246,BY_y0.00_n0.44_r1.002,737.7387303437296
247,BY_y0.00_n0.45_r1.002,727.2507772636893
248,BY_y0.00_n0.46_r1.002,717.5239961294828
249,BY_y0.00_n0.47_r1.002,708.5998501239161
250,BY_y0.00_n0.48_r1.002,700.2788168341192
251,BY_y0.00_n0.49_r1.002,692.5183158991317
252,BY_y0.00_n0.50_r1.002,685.3353789489036
253,BY_y0.00_n0.51_r1.002,678.7465061817369
254,BY_y0.00_n0.52_r1.002,672.3838964830713
255,BY_y0.00_n0.53_r1.002,666.4534533473932
256,BY_y0.00_n0.54_r1.002,660.9211598059813
257,BY_y0.00_n0.55_r1.002,655.7477246942976
258,BY_y0.00_n0.56_r1.002,650.7281867837212
259,BY_y0.00_n0.57_r1.002,646.0256468055875
260,BY_y0.00_n0.58_r1.002,641.6523911898827
261,BY_y0.00_n0.59_r1.002,637.422138909733
262,BY_y0.00_n0.60_r1.002,633.4326913869102
263,BY_y0.00_n0.61_r1.002,629.6191409886399
264,BY_y0.00_n0.62_r1.002,625.9614606300124
265,BY_y0.00_n0.63_r1.002,622.4599673779463
266,BY_y0.00_n0.64_r1.002,619.1997455675171
267,BY_y0.00_n0.65_r1.002,615.9999002548702
268,BY_y0.00_n0.66_r1.002,613.0209930461157
269,BY_y0.00_n0.67_r1.002,610.0596555222455
270,BY_y0.00_n0.68_r1.002,607.3271567139589
271,BY_y0.00_n0.69_r1.002,604.5960286429697
272,BY_y0.00_n0.70_r1.002,602.0167167734116
273,BY_y0.00_n0.71_r1.002,599.5577179845732
274,BY_y0.00_n0.72_r1.002,597.1290227738325
275,BY_y0.00_n0.73_r1.002,594.86590914047
276,BY_y0.00_n0.74_r1.002,592.6284363385321
277,BY_y0.00_n0.75_r1.002,590.4832703723455
278,BY_y0.00_n0.76_r1.002,588.4104974316602
279,BY_y0.00_n0.77_r1.002,586.4562559555752
280,BY_y0.00_n0.78_r1.002,584.4918112653928
281,BY_y0.00_n0.79_r1.002,582.7038641429847
282,BY_y0.00_n0.80_r1.002,580.8534509998858
283,BY_y0.00_n0.81_r1.002,579.0925326762369
284,BY_y0.00_n0.82_r1.002,577.4089788953966
285,BY_y0.00_n0.83_r1.002,575.8111457512763
286,BY_y0.00_n0.84_r1.002,574.2182776406505
287,BY_y0.00_n0.85_r1.002,572.6347509055956
288,BY_y0.00_n0.86_r1.002,571.1458967374449
289,BY_y0.00_n0.87_r1.002,569.6585356825467
290,BY_y0.00_n0.88_r1.002,568.2810293274443
291,BY_y0.00_n0.89_r1.002,566.8931628291921
292,BY_y0.00_n0.90_r1.002,565.5716847268241
293,BY_y0.00_n0.91_r1.002,564.2456769675889
294,BY_y0.00_n0.92_r1.002,562.9733406044083
295,BY_y0.00_n0.93_r1.002,561.7210206592099
296,BY_y0.00_n0.94_r1.002,560.5665107884917
297,BY_y0.00_n0.95_r1.002,559.3539234781138
298,BY_y0.00_n0.96_r1.002,558.24499891006
299,BY_y0.00_n0.97_r1.002,557.1387982897411
300,BY_y0.00_n0.98_r1.002,556.0087141344497
301,BY_y0.00_n0.99_r1.002,555.0068940226249
302,BY_y0.00_n1.00_r1.002,553.9479717473065
303,BY_y0.00_n0.00_r1.003,17547.622262874887
304,BY_y0.00_n0.01_r1.003,16812.368062494676
305,BY_y0.00_n0.02_r1.003,16153.178482461519
306,BY_y0.00_n0.03_r1.003,15463.057962063902
307,BY_y0.00_n0.04_r1.003,14740.994810495391
308,BY_y0.00_n0.05_r1.003,13987.707279716522
309,BY_y0.00_n0.06_r1.003,13203.127772058184
310,BY_y0.00_n0.07_r1.003,12390.579288379959
311,BY_y0.00_n0.08_r1.003,11553.494977208902
312,BY_y0.00_n0.09_r1.003,10696.439228824374
313,BY_y0.00_n0.10_r1.003,9827.882564652278
314,BY_y0.00_n0.11_r1.003,8956.416494442918
315,BY_y0.00_n0.12_r1.003,8094.534686929406
