,combination,extinction_size
115,BY_y_cv0.00_cy11.50,679.4536370163213
116,BY_y_cv0.00_cy11.60,666.8566241877375
117,BY_y_cv0.00_cy11.70,654.5552858812114
118,BY_y_cv0.00_cy11.80,642.2653048264802
119,BY_y_cv0.00_cy11.90,630.2963341307968
120,BY_y_cv0.00_cy12.00,618.6843105515677
121,BY_y_cv0.00_cy12.10,606.985145902542
122,BY_y_cv0.00_cy12.20,595.7730952631587
123,BY_y_cv0.00_cy12.30,584.6493650504926
124,BY_y_cv0.00_cy12.40,573.8450466434466
125,BY_y_cv0.00_cy12.50,563.2850853223047
126,BY_y_cv0.00_cy12.60,552.8777961019604
127,BY_y_cv0.00_cy12.70,542.5624808650141
128,BY_y_cv0.00_cy12.80,532.5856525964651
129,BY_y_cv0.00_cy12.90,522.6812446076293
130,BY_y_cv0.00_cy13.00,513.2272813150246
131,BY_y_cv0.00_cy13.10,503.77146518559897
132,BY_y_cv0.00_cy13.20,494.51686621477495
133,BY_y_cv0.00_cy13.30,485.3545164501472
134,BY_y_cv0.00_cy13.40,476.51596079269274
135,BY_y_cv0.00_cy13.50,467.88860289166337
136,BY_y_cv0.00_cy13.60,459.234602531949
137,BY_y_cv0.00_cy13.70,451.0783441067372
138,BY_y_cv0.00_cy13.80,442.69861785470897
139,BY_y_cv0.00_cy13.90,434.93503970469976
140,BY_y_cv0.00_cy14.00,426.7883208217158
141,BY_y_cv0.00_cy14.10,419.1849581023582
142,BY_y_cv0.00_cy14.20,411.71569272609094
143,BY_y_cv0.00_cy14.30,404.115961978477
144,BY_y_cv0.00_cy14.40,397.00953184781486
145,BY_y_cv0.00_cy14.50,389.78728905732015
146,BY_y_cv0.00_cy14.60,382.6883136754321
147,BY_y_cv0.00_cy14.70,375.97989344063564
148,BY_y_cv0.00_cy14.80,369.0507671143774
149,BY_y_cv0.00_cy14.90,362.37117461387106
150,BY_y_cv0.00_cy15.00,355.86159521149716
151,BY_y_cv0.00_cy15.10,349.5948144151175
152,BY_y_cv0.00_cy15.20,343.2633510311842
153,BY_y_cv0.00_cy15.30,337.16455010834477
154,BY_y_cv0.00_cy15.40,330.98404167622436
155,BY_y_cv0.00_cy15.50,324.9045728916501
156,BY_y_cv0.00_cy15.60,319.2489389379926
157,BY_y_cv0.00_cy15.70,313.2709592804181
158,BY_y_cv0.00_cy15.80,307.6321627952214
159,BY_y_cv0.00_cy15.90,301.9472924792792
160,BY_y_cv0.00_cy16.00,296.41670068303614
161,BY_y_cv0.00_cy16.10,291.16121495410437
162,BY_y_cv0.00_cy16.20,285.77281598044397
163,BY_y_cv0.00_cy16.30,280.4750302925684
164,BY_y_cv0.00_cy16.40,275.221439771461
165,BY_y_cv0.00_cy16.50,269.982634249968
166,BY_y_cv0.00_cy16.60,265.0995658452503
167,BY_y_cv0.00_cy16.70,259.93706626710735
168,BY_y_cv0.00_cy16.80,255.07622275698364
169,BY_y_cv0.00_cy16.90,250.35746302565187
170,BY_y_cv0.00_cy17.00,245.5571768430944
171,BY_y_cv0.00_cy17.10,240.76483088937204
172,BY_y_cv0.00_cy17.20,235.97097595518244
173,BY_y_cv0.00_cy17.30,231.59478912077867
174,BY_y_cv0.00_cy17.40,226.9394464475254
175,BY_y_cv0.00_cy17.50,222.34318769253989
176,BY_y_cv0.00_cy17.60,218.04071944517932
177,BY_y_cv0.00_cy17.70,213.65514892755508
178,BY_y_cv0.00_cy17.80,209.3401648592941
179,BY_y_cv0.00_cy17.90,205.09527903846086
180,BY_y_cv0.00_cy18.00,200.89490002663496
181,BY_y_cv0.00_cy18.10,196.7400756584446
182,BY_y_cv0.00_cy18.20,192.6557520226632
183,BY_y_cv0.00_cy18.30,188.63001097547786
184,BY_y_cv0.00_cy18.40,184.64183123298338
185,BY_y_cv0.00_cy18.50,180.72764605445082
186,BY_y_cv0.00_cy18.60,176.88358878822453
187,BY_y_cv0.00_cy18.70,172.9541085715713
188,BY_y_cv0.00_cy18.80,169.1970278438739
189,BY_y_cv0.00_cy18.90,165.5707421676847
190,BY_y_cv0.00_cy19.00,161.82570362251226
191,BY_y_cv0.00_cy19.10,158.13965685502754
192,BY_y_cv0.00_cy19.20,154.66206237831227
193,BY_y_cv0.00_cy19.30,151.2492389625566
194,BY_y_cv0.00_cy19.40,147.7009095273539
195,BY_y_cv0.00_cy19.50,144.22806220656807
196,BY_y_cv0.00_cy19.60,141.00233681056673
197,BY_y_cv0.00_cy19.70,137.70097337537993
198,BY_y_cv0.00_cy19.80,134.44084295113882
199,BY_y_cv0.00_cy19.90,131.229040145424
200,BY_y_cv0.00_cy20.00,128.09721847062977
201,BY_y_cv0.00_cy20.10,125.03709825854439
202,BY_y_cv0.00_cy20.20,122.0011883202973
203,BY_y_cv0.00_cy20.30,119.2065361502133
204,BY_y_cv0.00_cy20.40,116.25201877636756
205,BY_y_cv0.00_cy20.50,113.41872538540322
206,BY_y_cv0.00_cy20.60,110.60151784951833
207,BY_y_cv0.00_cy20.70,107.88809212599354
208,BY_y_cv0.00_cy20.80,105.22513119728939
209,BY_y_cv0.00_cy20.90,102.62695604092623
210,BY_y_cv0.00_cy21.00,100.02337995262171
211,BY_y_cv0.00_cy21.10,97.61704395616343
212,BY_y_cv0.00_cy21.20,95.06267503552282
213,BY_y_cv0.00_cy21.30,92.74361063483538
214,BY_y_cv0.00_cy21.40,90.40510712358373
215,BY_y_cv0.00_cy21.50,88.1766347062974
216,BY_y_cv0.00_cy21.60,85.9383851699111
217,BY_y_cv0.00_cy21.70,83.83017345879763
218,BY_y_cv0.00_cy21.80,81.67009465900445
219,BY_y_cv0.00_cy21.90,79.64810998404775
220,BY_y_cv0.00_cy22.00,77.66416975202903
221,BY_y_cv0.00_cy22.10,75.77505931793003
222,BY_y_cv0.00_cy22.20,73.87392708994612
223,BY_y_cv0.00_cy22.30,72.10683447204848
224,BY_y_cv0.00_cy22.40,70.29629459635744
225,BY_y_cv0.00_cy22.50,68.56021083228589
226,BY_y_cv0.00_cy22.60,66.92525710679583
227,BY_y_cv0.00_cy22.70,65.34686732559476
228,BY_y_cv0.00_cy22.80,63.783846193799945
229,BY_y_cv0.00_cy22.90,62.29692042927073
230,BY_y_cv0.00_cy23.00,60.84508137801422
231,BY_y_cv0.00_cy23.10,59.4409248979453
232,BY_y_cv0.00_cy23.20,58.104094293585156
233,BY_y_cv0.00_cy23.30,56.787606127640004
234,BY_y_cv0.00_cy23.40,55.51725031368625
235,BY_y_cv0.00_cy23.50,54.30004586289161
236,BY_y_cv0.00_cy23.60,53.13644225503577
237,BY_y_cv0.00_cy23.70,52.07434018391322
238,BY_y_cv0.00_cy23.80,50.977239004820504
239,BY_y_cv0.00_cy23.90,49.93917829729035
240,BY_y_cv0.00_cy24.00,48.94532125242423
241,BY_y_cv0.00_cy24.10,48.0058327117391
242,BY_y_cv0.00_cy24.20,47.07838400637283
243,BY_y_cv0.00_cy24.30,46.17171008240494
