,combination,extinction_size,wv,wy
90,BY_y_cv0.01_cy0.19,70.80599322858983,0.01,0.19
91,BY_y_cv0.01_cy0.20,72.00878702407537,0.01,0.2
92,BY_y_cv0.01_cy0.21,73.26160990951757,0.01,0.21
93,BY_y_cv0.01_cy0.22,74.58973943586881,0.01,0.22
94,BY_y_cv0.01_cy0.23,76.00284251020167,0.01,0.23
95,BY_y_cv0.01_cy0.24,77.48776221040099,0.01,0.24
96,BY_y_cv0.01_cy0.25,79.06659984298477,0.01,0.25
97,BY_y_cv0.01_cy0.26,80.73290894825169,0.01,0.26
98,BY_y_cv0.01_cy0.27,82.50912172384506,0.01,0.27
99,BY_y_cv0.01_cy0.28,84.39237529901658,0.01,0.28
100,BY_y_cv0.01_cy0.29,86.40424540158658,0.01,0.29
101,BY_y_cv0.01_cy0.30,88.55430539290775,0.01,0.3
102,BY_y_cv0.01_cy0.31,90.86813419174412,0.01,0.31
103,BY_y_cv0.01_cy0.32,93.34182002266424,0.01,0.32
104,BY_y_cv0.01_cy0.33,95.98344935936822,0.01,0.33
105,BY_y_cv0.01_cy0.34,98.83358209096262,0.01,0.34
106,BY_y_cv0.01_cy0.35,101.91766725240032,0.01,0.35
107,BY_y_cv0.01_cy0.36,105.23637222474372,0.01,0.36
108,BY_y_cv0.01_cy0.37,108.84860388338204,0.01,0.37
109,BY_y_cv0.01_cy0.38,112.76713388669104,0.01,0.38
110,BY_y_cv0.01_cy0.39,117.04522499002924,0.01,0.39
111,BY_y_cv0.01_cy0.40,121.6588578018573,0.01,0.4
112,BY_y_cv0.01_cy0.41,126.78012795005836,0.01,0.41
113,BY_y_cv0.01_cy0.42,132.34274155783115,0.01,0.42
114,BY_y_cv0.01_cy0.43,138.5076210303962,0.01,0.43
115,BY_y_cv0.01_cy0.44,145.30202612898705,0.01,0.44
116,BY_y_cv0.01_cy0.45,152.76463673035235,0.01,0.45
117,BY_y_cv0.01_cy0.46,161.1121629312249,0.01,0.46
118,BY_y_cv0.01_cy0.47,170.3883266712339,0.01,0.47
119,BY_y_cv0.01_cy0.48,180.6764283342484,0.01,0.48
120,BY_y_cv0.01_cy0.49,192.19366243277543,0.01,0.49
121,BY_y_cv0.01_cy0.50,205.14952371807485,0.01,0.5
122,BY_y_cv0.01_cy0.51,219.6824600165816,0.01,0.51
123,BY_y_cv0.01_cy0.52,236.0751200780853,0.01,0.52
124,BY_y_cv0.01_cy0.53,254.56448452989864,0.01,0.53
125,BY_y_cv0.01_cy0.54,275.45886856807743,0.01,0.54
126,BY_y_cv0.01_cy0.55,299.18741027271307,0.01,0.55
127,BY_y_cv0.01_cy0.56,326.16625839540706,0.01,0.56
128,BY_y_cv0.01_cy0.57,356.820297842273,0.01,0.57
129,BY_y_cv0.01_cy0.58,391.7204254070119,0.01,0.58
130,BY_y_cv0.01_cy0.59,431.6034062878895,0.01,0.59
131,BY_y_cv0.01_cy0.60,477.1030685832108,0.01,0.6
132,BY_y_cv0.01_cy0.61,529.2145980522155,0.01,0.61
133,BY_y_cv0.01_cy0.62,588.5926921441435,0.01,0.62
134,BY_y_cv0.01_cy0.63,656.51545607694,0.01,0.63
135,BY_y_cv0.01_cy0.64,734.116975155254,0.01,0.64
136,BY_y_cv0.01_cy0.65,822.5339419185581,0.01,0.65
137,BY_y_cv0.01_cy0.66,923.4399858795314,0.01,0.66
138,BY_y_cv0.01_cy0.67,1037.6666670785362,0.01,0.67
139,BY_y_cv0.01_cy0.68,1167.6238964801585,0.01,0.68
140,BY_y_cv0.01_cy0.69,1313.8177040220846,0.01,0.69
141,BY_y_cv0.01_cy0.70,1478.928352316033,0.01,0.7
142,BY_y_cv0.02_cy0.00,55.86677377962132,0.02,0.0
143,BY_y_cv0.02_cy0.01,56.386545249029055,0.02,0.01
144,BY_y_cv0.02_cy0.02,56.92349383982291,0.02,0.02
145,BY_y_cv0.02_cy0.03,57.49119718768034,0.02,0.03
146,BY_y_cv0.02_cy0.04,58.067144825824464,0.02,0.04
147,BY_y_cv0.02_cy0.05,58.669129867692384,0.02,0.05
148,BY_y_cv0.02_cy0.06,59.29813141960658,0.02,0.06
149,BY_y_cv0.02_cy0.07,59.94545600071706,0.02,0.07
150,BY_y_cv0.02_cy0.08,60.62927412060726,0.02,0.08
151,BY_y_cv0.02_cy0.09,61.342565327758,0.02,0.09
152,BY_y_cv0.02_cy0.10,62.08147092658584,0.02,0.1
153,BY_y_cv0.02_cy0.11,62.854553989544726,0.02,0.11
154,BY_y_cv0.02_cy0.12,63.66385456826011,0.02,0.12
155,BY_y_cv0.02_cy0.13,64.50432689824191,0.02,0.13
156,BY_y_cv0.02_cy0.14,65.37627066804835,0.02,0.14
