,bv_lower,bv_upper,by_lower,by_upper
0,0.42633730191527885,0.5122259420416486,1.866363077559826,2.0940816217750524
1,0.7452941530067816,0.9089142988334018,2.410752635082794,2.7167192439935333
2,1.086380368338247,1.3508644358482944,2.820412604924811,3.1954275817632745
3,1.4691968501233401,1.8733236583442743,3.2086984839916615,3.655403751280312
4,1.9083644158261266,2.5031104491752414,3.6196407199198903,4.159212519205485
5,2.434374829843092,3.303985905710304,4.089213755752672,4.724120884997047
6,3.0741496061367295,4.352326513772322,4.638182930155875,5.4149600791502
7,3.84998144139175,5.721380961949616,5.27441189797557,6.2256504067588345
8,4.844984946224346,7.577757246750408,6.0237855103792555,7.20987705444856
9,6.08184575206766,10.072852766329317,6.871049056325725,8.371494287040846
10,7.640012684916344,13.392782951505733,7.843141727078754,9.752866608526713
11,9.617635994196077,17.81813969904347,8.882865379700334,11.346415408136393
12,12.08997834471686,23.695591868815516,10.028546935708874,13.138769809222403
13,15.155371674750898,31.31525214552853,11.27792224897304,15.080349876953242
14,18.898988584248468,40.67251551572594,12.472685118676438,17.119424062158927
15,23.378357757708738,51.939144265918294,13.544944975867319,19.10795807077211
16,28.525437365660224,64.52592953315808,14.383894097387776,20.749940030081817
17,34.24711880697889,77.15784074554122,14.890004882911672,21.954462194265872
18,40.256574509282814,88.58737397599985,14.916585167298813,22.30617767573075
19,46.05587744407831,96.1453728367528,14.425441084221536,21.774759634030985
20,51.19516424384063,99.17458262196715,13.486888710562184,20.40192234132533
21,55.022632476556,97.08343845231434,12.12289748014663,18.309360263949177
22,57.27165661868903,90.21528279556709,10.550221293150125,15.80504553118338
23,57.34173840095143,81.48252636308504,9.038366107335614,13.054660144214347
24,54.37338324510193,72.22977686672937,7.5026405550580115,10.509471687741218
25,48.74451493124016,62.90458221289116,6.1737516956405525,8.323051216547995
26,40.43447236292968,53.86256910271481,5.109866339070285,6.560767958502637
27,31.512556951199556,45.53245486891856,4.2625774188926275,5.246218447969345
28,23.79940677149495,38.573711898722664,3.6249390255020986,4.317812023620517
29,17.80696608341358,32.13133247786557,3.135537908660816,3.6552369443432537
30,13.33867071048133,26.801304863509984,2.7878352296301334,3.2153387674317417
31,9.9291591522723,21.87250839047533,2.524207499624017,2.8979084387174048
32,7.4229915042764985,17.908418506654083,2.324385786217411,2.662791267342029
33,5.603769661452284,14.509429769226042,2.171704619313412,2.4800210611834714
34,4.29316855729498,11.609530201981551,2.0536571178071017,2.3391336377871563
35,3.3365150545969575,9.416891948477874,1.9611705411470908,2.23252381312945
36,2.6655585135129596,7.702420575405868,1.891330469800714,2.1522767279244226
37,2.1995746262279545,6.366885813806387,1.8397075749055494,2.0943312366009357
38,1.879960279964267,5.337641910784237,1.8063433658962604,2.055249702551254
39,1.6648887551915776,4.552814699008325,1.7883384456976392,2.0340020989781467
40,1.523829730557199,3.9610887452274515,1.7855987456027564,2.030396204768108
41,1.4266086649514724,3.5395764931974227,1.7940663856799635,2.0385998777434753
42,1.3785395027204077,3.2198100190851693,1.8204226006302606,2.0659667002180675
43,1.3630824653670883,2.9896772499795343,1.8624314925654373,2.1136334354086532
44,1.3652374522353365,2.8531053883514814,1.9210028120142493,2.180555859536898
45,1.3986592448058128,2.796467590907292,1.997872506551795,2.2698070435427495
