,combination,extinction_size
118,BY_y_cv0.01_cy0.17,169.09473507257647
119,BY_y_cv0.01_cy0.18,169.10401184228
120,BY_y_cv0.01_cy0.19,169.11328648714408
121,BY_y_cv0.01_cy0.20,169.07751464072356
122,BY_y_cv0.01_cy0.21,169.08676519903787
123,BY_y_cv0.01_cy0.22,169.09599637315608
124,BY_y_cv0.01_cy0.23,169.04861175861572
125,BY_y_cv0.01_cy0.24,169.04760374056914
126,BY_y_cv0.01_cy0.25,169.0480342048685
127,BY_y_cv0.01_cy0.26,169.05672363627056
128,BY_y_cv0.01_cy0.27,169.0637206979753
129,BY_y_cv0.01_cy0.28,169.07067092984872
130,BY_y_cv0.01_cy0.29,169.03356939567038
131,BY_y_cv0.01_cy0.30,169.03115486770292
132,BY_y_cv0.01_cy0.31,169.03298322130377
133,BY_y_cv0.01_cy0.32,169.02786797487354
134,BY_y_cv0.01_cy0.33,169.02650886455686
135,BY_y_cv0.01_cy0.34,169.02116872646042
136,BY_y_cv0.01_cy0.35,169.0158074135168
137,BY_y_cv0.01_cy0.36,169.0104250698261
138,BY_y_cv0.01_cy0.37,169.00502292174474
139,BY_y_cv0.01_cy0.38,168.99960230704875
140,BY_y_cv0.01_cy0.39,168.99416117623605
141,BY_y_cv0.01_cy0.40,168.98869969750942
142,BY_y_cv0.01_cy0.41,168.9832209032431
143,BY_y_cv0.01_cy0.42,168.97771924947173
144,BY_y_cv0.01_cy0.43,168.97219777856807
145,BY_y_cv0.01_cy0.44,168.9666427786304
146,BY_y_cv0.01_cy0.45,168.96108223879114
147,BY_y_cv0.01_cy0.46,168.95550245975812
148,BY_y_cv0.01_cy0.47,168.94988916934292
149,BY_y_cv0.01_cy0.48,168.94427151421388
150,BY_y_cv0.01_cy0.49,168.9386352375534
151,BY_y_cv0.01_cy0.50,168.9329805518037
152,BY_y_cv0.01_cy0.51,168.92730767713059
153,BY_y_cv0.01_cy0.52,168.9427096314614
154,BY_y_cv0.01_cy0.53,168.93699996558388
